Date,Amount,Description,Category,Day0fWeek,IsWeekend,CategoryEncoded,Cluster,Sihouette_Score
2024-09-01,50,Groceries,Food,6,1,3,2,0.4807170263540474
2024-09-02,15,Uber,Transportation,0,0,7,3,0.4807170263540474
2024-09-03,200,Electricity Bill,Utilities,1,0,8,1,0.4807170263540474
2024-09-05,30,Netflix,Entertainment,3,0,2,0,0.4807170263540474
2024-09-07,10,Coffee,Food,5,1,3,2,0.4807170263540474
2024-09-10,100,Shopping,Clothing,1,0,0,5,0.4807170263540474
2024-09-11,60,Gas,Transportation,2,0,7,3,0.4807170263540474
2024-09-12,25,Restaurant,Food,3,0,3,0,0.4807170263540474
2024-09-13,150,Insurance,Utilities,4,0,8,6,0.4807170263540474
2024-09-15,40,Movie Ticket,Entertainment,6,1,2,2,0.4807170263540474
2024-09-17,80,Books,Education,1,0,1,5,0.4807170263540474
2024-09-18,300,Rent,Utilities,2,0,8,1,0.4807170263540474
2024-09-20,20,Snacks,Food,4,0,3,0,0.4807170263540474
2024-09-21,45,Public Transport,Transportation,5,1,7,2,0.4807170263540474
2024-09-23,75,Doctor,Healthcare,0,0,5,3,0.4807170263540474
2024-09-25,35,Music Concert,Entertainment,2,0,2,0,0.4807170263540474
2024-09-27,90,Pet Supplies,Other,4,0,6,6,0.4807170263540474
2024-09-28,15,Gym,Health,5,1,4,2,0.4807170263540474
2024-09-29,200,Car Maintenance,Transportation,6,1,7,4,0.4807170263540474
2024-09-30,50,Phone Bill,Utilities,0,0,8,3,0.4807170263540474
